title,artist,genre
I'm Not In Love,10cc,Music > Rock
Love Song,311,Music > Rock
What's Up?,4 Non Blondes,Music > Rock
The Day Of The Greys,4hero,Music > Electronic > Drum And Bass
I Ran (So Far Away),A Flock Of Seagulls,Music > Electronic > Synthpop
Dime Porque,A.B. Quintanilla III Y Los Kumbia Kings,Music > Roots
Dime Quién,A.B. Quintanilla III Y Los Kumbia Kings,Music > Roots
Fuiste Mala,A.B. Quintanilla III Y Los Kumbia Kings,Music > Roots
Sshh!!,A.B. Quintanilla III Y Los Kumbia Kings,Music > Roots
Te Quiero A Tí,A.B. Quintanilla III Y Los Kumbia Kings,Music > Roots
Dancing Queen,ABBA,Music > Rhythmic > Disco
The Winner Takes It All,ABBA,Music > Pop
Back In Black,AC/DC,Music > Rock
Highway to Hell,AC/DC,Music > Rock
Thunderstruck,AC/DC,Music > Rock
Post Traumatic Love,Actors,Music > Rock
Rolling in the Deep,Adele,Music > Pop
Dos Culpables,Adriana Lucia,Music > Roots
Enamórate Como Yo,Adriana Lucia,Music > Roots
Llegaste Tú,Adriana Lucia,Music > Roots
Olvidarte Es Imposible (Te Amaría),Adriana Lucia,Music > Roots
Amazing,Aerosmith,Music > Rock
Crazy,Aerosmith,Music > Rock
Cryin',Aerosmith,Music > Rock
Dream On,Aerosmith,Music > Rock
Fallen Angels,Aerosmith,Music > Rock
Falling In Love (Is Hard On The Knees),Aerosmith,Music > Rock
Fly Away From Here,Aerosmith,Music > Rock
Hole In My Soul,Aerosmith,Music > Rock
"I Don't Want to Miss a Thing (From Armageddon"" Soundtrack)""",Aerosmith,Music > Rock
Jaded,Aerosmith,Music > Rock
Pink,Aerosmith,Music > Rock
Take on Me,A-Ha,Music > Electronic > Synthpop
Sexy Boy,Air,Music > Electronic > Downtempo
Surfing on a Rocket,Air,Music > Electronic > Downtempo
Lost In Love,Air Supply,Music > Rock
El Circo,Albert Zamora Y Talento,Music > Roots
Quien Mas Te Adora,Albert Zamora Y Talento,Music > Roots
Tu Carcel,Albert Zamora Y Talento,Music > Roots
Te Esperaba,Alejandra Guzman,Music > Rock
Abrazame,Alejandro Fernández,Music > Roots
Como Quien Pierde una Estrella,Alejandro Fernández,Music > Roots
Cuando Yo Quería Ser Grande,Alejandro Fernández,Music > Roots
Me Dedique a Perderte,Alejandro Fernandez A Duo Con Amaia Montero,Music > Pop
Amiga mía,Alejandro Sanz,Music > Pop
Corazón partío,Alejandro Sanz,Music > Roots
Pisando fuerte,Alejandro Sanz,Music > Pop
Si tú me miras,Alejandro Sanz,Music > Pop
"Y, ¿Si fuera ella?",Alejandro Sanz,Music > Pop
Sexo Pudor Y Lágrimas,Aleks Syntek,Music > Pop
Anhelos,Alfredo Gutierrez,Music > Roots
Man in the Box,Alice In Chains,Music > Rock
No Excuses,Alice In Chains,Music > Rock
Rooster (2022 Remaster),Alice In Chains,Music > Rock
We Die Young,Alice In Chains,Music > Rock
Metalingus,Alter Bridge,Music > Rock
A Horse with No Name,America,Music > Rock
La Cumbia Sampuesana,Aniceto Molina,Music > Roots
You Should All Be Murdered,Another Sunny Day,Music > Pop
Cold Rock the Mic,Apollo 440,Music > Electronic > Big Beat
The Suburbs,Arcade Fire,Music > Rock
Escapee,Architecture in Helsinki,Music > Pop
Adúltera,"Arnulfo Jr. ""Rey Y As""",Music > Roots
Perdona Mi Franqueza,"Arnulfo Jr. ""Rey Y As""",Music > Roots
Por Amor A Ti,"Arnulfo Jr. ""Rey Y As""",Music > Roots
Pregúntele A Ella,"Arnulfo Jr. ""Rey Y As""",Music > Roots
Soy De La Calle,"Arnulfo Jr. ""Rey Y As""",Music > Roots
Una Noche De Pasión,"Arnulfo Jr. ""Rey Y As""",Music > Roots
"Ballade No. 1 in G Minor, Op. 23",Arturo Benedetti Michelangeli,Music > Classical
Bolero Falaz,Aterciopelados,Music > Rock
Florecita Rockera,Aterciopelados,Music > Rock
Be Yourself,Audioslave,Music > Rock
Cochise,Audioslave,Music > Rock
I Am The Highway,Audioslave,Music > Rock
Like a Stone,Audioslave,Music > Rock
Show Me How To Live,Audioslave,Music > Rock
Secret Enchanted Broccoli Forest,Babe Rainbow,Music > Pop
Te Presumo,Banda Sinaloense de El Recodo de Don Cruz Lizarraga,Music > Roots
De Ti Enamorado,Banda Sinaloense MS de Sergio Lizárraga,Music > Roots
Mi Mayor Anhelo,Banda Sinaloense MS de Sergio Lizárraga,Music > Roots
"Can't Get Enough Of Your Love, Babe",Barry White,Music > Rhythmic > Soul
Just The Way You Are,Barry White,Music > Rhythmic > Soul
"Never, Never Gonna Give Ya Up",Barry White,Music > Rhythmic > Soul
"You're The First, The Last, My Everything",Barry White,Music > Rhythmic > Disco
Dark Entries,Bauhaus,Music > Rock
Kick in the Eye,Bauhaus,Music > Rock
Myth,Beach House,Music > Pop
Space Song,Beach House,Music > Pop
Devils Haircut,Beck,Music > Rock
Gamma Ray,Beck,Music > Rock
Loser,Beck,Music > Rock
Ramona,Beck,Music > Rock
How Deep Is Your Love,Bee Gees,Music > Rhythmic > Soul
More Than A Woman,Bee Gees,Music > Rhythmic > Disco
Night Fever,Bee Gees,Music > Rhythmic > Disco
Stayin' Alive,Bee Gees,Music > Rhythmic > Disco
You Should Be Dancing,Bee Gees,Music > Rhythmic > Disco
Take My Breath Away,Berlin,Music > Pop
El Preso,Bernardo Y Sus Compadres,Music > Roots
La Cama de Piedra,Bernardo Y Sus Compadres,Music > Roots
Piece of My Heart,Big Brother & The Holding Company,Music > Rock
Shark Smile,Big Thief,Music > Rock
Shark Smile,Big Thief,Music > Pop
Gonna Fly Now,Bill Conti,Music > Classical
Eyes Without A Face,Billy Idol,Music > Pop
Bañarte en Mis Sueños,Binomio De Oro De América,Music > Roots
Como Vamos A Quedar,Binomio De Oro De América,Music > Roots
Difícil de Igualar,Binomio De Oro De América,Music > Roots
Dime Cómo Te Olvido,Binomio De Oro De América,Music > Roots
Distintos Destinos,Binomio De Oro De América,Music > Roots
Hoy Me Di Cuenta,Binomio De Oro De América,Music > Roots
Lejos De Ti,Binomio De Oro De América,Music > Roots
Manantial de Amor,Binomio De Oro De América,Music > Roots
Me Ilusioné,Binomio De Oro De América,Music > Roots
Me Vas A Extrañar,Binomio De Oro De América,Music > Roots
Niña Bonita,Binomio De Oro De América,Music > Roots
No Pude Olvidarte,Binomio De Oro De América,Music > Roots
No Puedo Olvidarla,Binomio De Oro De América,Music > Roots
Olvídala,Binomio De Oro De América,Music > Roots
Pa´Que Me Des Tus Besos,Binomio De Oro De América,Music > Roots
Quiero Que Seas Mi Estrella,Binomio De Oro De América,Music > Roots
Si Tu Amor No Vuelve,Binomio De Oro De América,Music > Roots
Tiempo de Comenzar,Binomio De Oro De América,Music > Roots
Tres Palabras,Binomio De Oro De América,Music > Roots
Un Osito Dormilon,Binomio De Oro De América,Music > Roots
Vovió el Dolor,Binomio De Oro De América,Music > Roots
Last Year's Disco Guitars,Bishop Morocco,Music > Rock
Hurricane Jane,Black Kids,Music > Pop
O Katrina!,Black Lips,Music > Rock
Iron Man,Black Sabbath,Music > Metal > Heavy Metal
Paranoid,Black Sabbath,Music > Metal > Heavy Metal
No Rain,Blind Melon,Music > Rock
First Date,blink-182,Music > Rock
It's Getting Boring By The Sea,Blood Red Shoes,Music > Rock
Season Song,Blue States,Music > Electronic > Downtempo
Beetlebum,Blur,Music > Rock
Coffee & TV,Blur,Music > Rock
Song 2,Blur,Music > Rock
Duvet,bôa,Music > Rock
The Times They Are A-Changin',Bob Dylan,Music > Roots
A Tu Lado,Bobby Pulido,Music > Roots
Abrázame Y Bésame,Bobby Pulido,Music > Roots
Desvelado,Bobby Pulido,Music > Roots
El Cazador,Bobby Pulido,Music > Roots
Enséñame,Bobby Pulido,Music > Roots
La Rosa,Bobby Pulido,Music > Roots
Le Pediré,Bobby Pulido,Music > Roots
Permaneces En Mí,Bobby Pulido,Music > Roots
Qué Más Te Puedo Dar,Bobby Pulido,Music > Roots
Se Murió De Amor,Bobby Pulido,Music > Roots
Zona de Peligro,Bobby Pulido,Music > Roots
Always,Bon Jovi,Music > Rock
Bed Of Roses,Bon Jovi,Music > Rock
Livin' On A Prayer,Bon Jovi,Music > Rock
El Abandonado,Boni Mauricio Y Maximos,Music > Roots
Heaven Must Have Sent You,Bonnie Pointer,Music > Rhythmic > Disco
Holding Out for a Hero,Bonnie Tyler,Music > Rock
Total Eclipse of the Heart,Bonnie Tyler,Music > Rock
Can't Take My Eyes Off You,Boys Town Gang,Music > Rhythmic > Disco
The Book Lovers,Broadcast,Music > Pop
Smalltown Boy,Bronski Beat,Music > Electronic > Synthpop
(Everything I Do) I Do It For You,Bryan Adams,Music > Rock
Liar,Built To Spill,Music > Rock
Alicia,Bunbury,Music > Rock
Salomé,Bunbury,Music > Rock
Salute da Gods!!,Busta Rhymes,Music > Hip Hop > Boom Bap
Ever Fallen in Love (With Someone You Shouldn't've?),Buzzcocks,Music > Rock
What Do I Get?,Buzzcocks,Music > Rock
Eres,Café Tacvba,Music > Rock
La ingrata,Café Tacvba,Music > Rock
Las flores,Café Tacvba,Music > Rock
Las persianas,Café Tacvba,Music > Rock
María,Café Tacvba,Music > Rock
Take It Or Leave It,Cage The Elephant,Music > Rock
Afuera,Caifanes,Music > Rock
Cuéntame Tu Vida,Caifanes,Music > Rock
La Célula Que Explota,Caifanes,Music > Rock
Mátenme Porque Me Muero,Caifanes,Music > Rock
Miedo,Caifanes,Music > Rock
No Dejes Que...,Caifanes,Music > Rock
Nubes,Caifanes,Music > Rock
Viento,Caifanes,Music > Rock
Dance With Me,Cameron Avery,Music > Pop
La Planta,Caos,Music > Rock
La Pelotona,Cartel De Santa,Music > Hip Hop > West Coast
Todas Mueren por Mí,Cartel De Santa,Music > Hip Hop > West Coast
All By Myself,Céline Dion,Music > Pop
My Heart Will Go On,Céline Dion,Music > Pop
Al pensar en ti,Celso Piña y su Ronda Bogotá,Music > Roots
Aunque no sea conmigo (feat. Café Tacvba),Celso Piña y su Ronda Bogotá,Music > Roots
Cumbia poder,Celso Piña y su Ronda Bogotá,Music > Roots
Cumbia sobre el río / Interludio,Celso Piña y su Ronda Bogotá,Music > Roots
Blue Hotel,Chris Isaak,Music > Rock
Fade Away,Chris Isaak,Music > Rock
Lie To Me,Chris Isaak,Music > Rock
Wicked Game,Chris Isaak,Music > Rock
You Owe Me Some Kind of Love,Chris Isaak,Music > Rock
You Never Can Tell,Chuck Berry,Music > Rock
Apocalypse,Cigarettes After Sex,Music > Rock
Walking With Thee,Clinic,Music > Rock
Confetti,Cold Cave,Music > Pop
Clocks,Coldplay,Music > Rock
In My Place,Coldplay,Music > Rock
The Scientist,Coldplay,Music > Pop
Yellow,Coldplay,Music > Rock
Horse Race,Colourmusic,Music > Rock
Cada Vez Que Resuelles,Conjunto Oro,Music > Roots
La Decision,Conjunto Oro,Music > Roots
Llore,Conjunto Oro,Music > Roots
Quiero Que Me Abraces,Conjunto Oro,Music > Roots
Vete a Buscar Aquel,Conjunto Oro,Music > Roots
Amnesia,Control Machete,Music > Hip Hop > Hip Hop (Classic)
Andamos Armados,Control Machete,Music > Hip Hop > Hip Hop (Classic)
Así Son Mis Días,Control Machete,Music > Hip Hop > Hip Hop (Classic)
Cheve,Control Machete,Music > Hip Hop > Hip Hop (Classic)
"Comprendes, Mendes?",Control Machete,Music > Hip Hop > Boom Bap
Danzón,Control Machete,Music > Hip Hop > Boom Bap
Humanos Mexicanos,Control Machete,Music > Hip Hop > Hip Hop (Classic)
Ileso,Control Machete,Music > Hip Hop > Hip Hop (Classic)
Si Señor,Control Machete,Music > Hip Hop > Hip Hop (Classic)
Gangsta's Paradise (feat. L.V.),Coolio,Music > Hip Hop > West Coast
Como olvidarte,Costumbre,Music > Roots
Cuanto te amo,Costumbre,Music > Roots
Esperare,Costumbre,Music > Roots
Estar enamorado,Costumbre,Music > Roots
Estar Enamorado (En Vivo),Costumbre,Music > Roots
Fantasia,Costumbre,Music > Roots
Fantasía (En Vivo),Costumbre,Music > Roots
Quiera Dios (En Vivo),Costumbre,Music > Roots
Quiero Decirte,Costumbre,Music > Roots
Quiero Decirte (En Vivo),Costumbre,Music > Roots
Y Ya Despues,Costumbre,Music > Roots
Colorblind,Counting Crows,Music > Rock
Sunshine Of Your Love,Cream,Music > Rock
Beautiful,Creed,Music > Rock
Higher,Creed,Music > Rock
My Own Prison,Creed,Music > Rock
My Sacrifice,Creed,Music > Rock
One Last Breath,Creed,Music > Rock
What If,Creed,Music > Rock
