title,artist,album,isrc,genre
La Grange ,ZZ Top,Goin' 50,USWB11901049,Music > Rock > Blues Rock
Breakfast In America,Supertramp,Breakfast In America,USUM71021483,Music > Rock > Soft Rock
The Seeker,The Who,Who’s Next : Life House,GBUM72204806,Music > Rock > Hard Rock > Hard Rock (Standard)
Si Tu Te Fueras de Mi,Fermin Canales y los Talismanes,Carita de Angel,USPWN1011819,Music > Roots > Regional Mexicano > Norteño
Presiento Que Voy A Llorar,Talismanes De Fermin Canales,Noche De Sombra,US2Y30634142,Music > Roots > Regional Mexicano > Norteño
Battery,Metallica,S&M,GBAMC9900025,Music > Metal > Thrash Metal
Enter Sandman,Metallica,S&M,GBAMC9900023,Music > Metal > Heavy Metal
One,Metallica,S&M,GBAMC9900022,Music > Metal > Thrash Metal
Sad But True,Metallica,S&M,GBAMC9900021,Music > Metal > Heavy Metal
Outlaw Torn,Metallica,S&M,GBAMC9900020,Music > Metal > Heavy Metal
Wherever I May Roam,Metallica,S&M,GBAMC9900019,Music > Metal > Heavy Metal
For Whom The Bell Tolls,Metallica,S&M,GBAMC9900017,Music > Metal > Heavy Metal
Nothing Else Matters,Metallica,S&M,GBAMC9900015,Music > Metal > Heavy Metal
Bleeding Me,Metallica,S&M,GBAMC9900014,Music > Metal > Heavy Metal
The Memory Remains,Metallica,S&M,GBAMC9900010,Music > Metal > Heavy Metal
Fuel,Metallica,S&M,GBAMC9900009,Music > Metal > Heavy Metal
The Thing That Should Not Be,Metallica,S&M,GBAMC9900008,Music > Metal > Heavy Metal
Of Wolf And Man,Metallica,S&M,GBAMC9900007,Music > Metal > Heavy Metal
Master Of Puppets,Metallica,S&M,GBAMC9900006,Music > Metal > Thrash Metal
The Call Of Ktulu,Metallica,S&M,GBAMC9900005,Music > Metal > Heavy Metal
Race for the Prize,The Flaming Lips,The Soft Bulletin,USWB11602529,Music > Rock > Psychedelic Rock
The Cutter,Echo And The Bunnymen,Songs to Learn & Sing,GBAHT2200028,Music > Rock > Post-Punk
Como Quien Pierde una Estrella,Alejandro Fernández,Esencial Diego El Cigala,MXF140500217,Music > Roots > Regional Mexicano > Ranchera
Tokyo,White Lies,FIVE,GBENL1802275,Music > Rock > Post-Punk
Time To Give,White Lies,FIVE,GBENL1802276,Music > Rock > Post-Punk
Kick Me,White Lies,FIVE,GBENL1802279,Music > Rock > Post-Punk
Fire And Wings,White Lies,FIVE,GBENL1802280,Music > Rock > Post-Punk
There Is a Light That Never Goes Out ,The Smiths,The Queen Is Dead (2017 Remaster),GBAHT1700378,Music > Rock > Indie Rock
There Is a Light That Never Goes Out ,The Smiths,The Queen Is Dead (2017 Remaster),GBAHT1700378,Music > Rock > Post-Punk
This Charming Man,The Smiths,Complete (Hi-Res Version),GBCRL1300039,Music > Rock > Indie Rock
This Charming Man,The Smiths,Complete (Hi-Res Version),GBCRL1300039,Music > Rock > Post-Punk
The Headmaster Ritual,The Smiths,Complete (Hi-Res Version),GBCRL1300015,Music > Rock > Indie Rock
The Headmaster Ritual,The Smiths,Complete (Hi-Res Version),GBCRL1300015,Music > Rock > Post-Punk
"Paint It, Black",The Rolling Stones,Aftermath,USA171010213,Music > Rock > Psychedelic Rock
Iris,THE GOO GOO DOLLS,Dizzy up the Girl,USWB11507961,Music > Rock > Hard Rock > Power Ballad
The W.A.N.D.,The Flaming Lips,At War with the Mystics,USWB11602540,Music > Rock > Psychedelic Rock
Lonely Boy,The Black Keys,El Camino,USNO11500536,Music > Rock > Blues Rock
Gold on the Ceiling,The Black Keys,El Camino,USNO11500538,Music > Rock > Blues Rock
Tighten Up,The Black Keys,Brothers ,USNO12000172,Music > Rock > Blues Rock
Wicked Garden ,Stone Temple Pilots,Core ,USAT21702677,Music > Rock > Grunge
Plush ,Stone Temple Pilots,Core ,USAT21702683,Music > Rock > Grunge
Creep ,Stone Temple Pilots,Core ,USAT21702681,Music > Rock > Grunge
Samba Pa Ti,Santana,Santana's Greatest Hits,USSM17000811,Music > Rock > Blues Rock
Subterranean Homesick Alien,Radiohead,OK Computer OKNOTOK 1997 2017,GBBKS1700186,Music > Rock > Psychedelic Rock
No Surprises,Radiohead,OK Computer OKNOTOK 1997 2017,GBBKS1700193,Music > Rock > Soft Rock
"What's The Frequency, Kenneth?",R.E.M.,Monster,USWB10302360,Music > Rock > Indie Rock
Until The Day Is Done,R.E.M.,Accelerate,USWB11400933,Music > Rock > Folk Rock
Orange Crush,R.E.M.,Green,USWB11301270,Music > Rock > Indie Rock
Try Not To Breathe,R.E.M.,Automatic For The People,USC4R1700239,Music > Rock > Indie Rock
Man On The Moon,R.E.M.,Automatic For The People,USC4R1700247,Music > Rock > Indie Rock
Everybody Hurts,R.E.M.,Automatic For The People,USC4R1700241,Music > Rock > Soft Rock
Drive,R.E.M.,Automatic For The People,USC4R1700238,Music > Rock > Indie Rock
We Will Rock You,Queen,Greatest Hits,GBUM71029618,Music > Rock > Hard Rock > Hard Rock (Standard)
Somebody To Love,Queen,Greatest Hits,GBUM71029613,Music > Rock > Soft Rock
Don't Stop Me Now,Queen,Greatest Hits,GBUM71029610,Music > Rock > Hard Rock > Hard Rock (Standard)
Time ,Pink Floyd,The Dark Side Of The Moon (50th Anniversary) ,GBN9Y2200018,Music > Rock > Progressive Rock
Time ,Pink Floyd,The Dark Side Of The Moon (50th Anniversary) ,GBN9Y2200018,Music > Rock > Psychedelic Rock
Nineteen Hundred And Eighty Five,Paul McCartney,Band On The Run,GBCCS1000077,Music > Rock > Soft Rock
Wonderwall ,Oasis ,Time Flies... 1994-2009 ,GBQCP1400109,Music > Rock > Indie Rock
Stop Crying Your Heart Out ,Oasis ,Time Flies... 1994-2009 ,GBQCP2000014,Music > Rock > Indie Rock
Stand by Me ,Oasis ,Time Flies... 1994-2009 ,GBQCP1600012,Music > Rock > Indie Rock
Don't Look Back in Anger ,Oasis ,Time Flies... 1994-2009 ,GBQCP1400110,Music > Rock > Indie Rock
I Can Cry,Moses Gunn Collective,Dr Moses Love Hospital,TCAFJ2175840,Music > Rock > Indie Rock
Sad But True,Metallica,Metallica,QMKHM1900015,Music > Metal > Heavy Metal
Nothing Else Matters,Metallica,Metallica,QMKHM1900013,Music > Metal > Heavy Metal
Creeping Death,Metallica,Metallica,QMKHM1900014,Music > Metal > Thrash Metal
En El Muelle de San Blas ,Mana,Sueños Líquidos ,MXF151900175,Music > Rock > Soft Rock
La Llama,Los Palominos,Evoluciones,QMBZ92195371,Music > Roots > Regional Mexicano > Texano
Tu Nombre,Los Cadetes De Linares,Puras Rolas Norteñas,QM6DC1880061,Music > Roots > Regional Mexicano > Norteño
No Hay Novedad,Los Cadetes De Linares,Puras Rolas Norteñas,QM6DC1880060,Music > Roots > Regional Mexicano > Norteño
Un Viejo Amor,Los Cadetes De Linares,Las Mas Tocadas,QM6DC1880001,Music > Roots > Regional Mexicano > Norteño
Menos Que Nada,Los Cadetes De Linares,Las Mas Tocadas,QM6DC1880011,Music > Roots > Regional Mexicano > Norteño
Que Seas Dichosa,Los Cadetes De Linares,Las Mas Tocadas,QM6DC1879998,Music > Roots > Regional Mexicano > Norteño
"Necio, Necio Morire",Los Cadetes De Linares,El Santo Milagroso,QM6DC1904857,Music > Roots > Regional Mexicano > Norteño
Una Lagrima Y Un Recuerdo,Los Cadetes De Linares,15 Boleros,QM6DC1879822,Music > Roots > Regional Mexicano > Norteño
Sabor De Engaño,Los Cadetes De Linares,15 Boleros,QM6DC1879828,Music > Roots > Regional Mexicano > Norteño
Regalo De Reyes,Los Cadetes De Linares,15 Boleros,QM6DC1879819,Music > Roots > Regional Mexicano > Norteño
Mandato Divino,Los Cadetes De Linares,Boleros Musicales,QM6DC1879871,Music > Roots > Regional Mexicano > Norteño
Desprecio,Los Cadetes De Linares,Las Mas Tocadas,QM6DC1880000,Music > Roots > Regional Mexicano > Norteño
Cosas Del Ayer,Los Cadetes De Linares,Compilacion Norteña,QM6DC1879925,Music > Roots > Regional Mexicano > Norteño
Now We Are Free,Lisa Gerrard,Gladiator II,USUMC0000062,Music > Score
Used To Love Her,Guns N' Roses,Appetite For Destruction,USGF18819806,Music > Rock > Hard Rock > Hard Rock (Standard)
You Could Be Mine,Guns N' Roses,Use Your Illusion II,USGF19142012,Music > Rock > Hard Rock > Hard Rock (Standard)
Knockin' On Heaven's Door,Guns N' Roses,Use Your Illusion II,USGF19142004,Music > Rock > Hard Rock > Power Ballad
November Rain,Guns N' Roses,Use Your Illusion I,USUG12200195,Music > Rock > Hard Rock > Power Ballad
Perfect Crime,Guns N' Roses,Use Your Illusion I,USGF19141505,Music > Rock > Hard Rock > Hard Rock (Standard)
Don't Cry (Original),Guns N' Roses,Use Your Illusion I,USGF19141504,Music > Rock > Hard Rock > Power Ballad
Rocket Queen,Guns N' Roses,Appetite For Destruction,USGF18714812,Music > Rock > Hard Rock > Hard Rock (Standard)
Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,USGF18714809,Music > Rock > Hard Rock > Hard Rock (Standard)
Paradise City,Guns N' Roses,Appetite For Destruction,USGF18714806,Music > Rock > Hard Rock > Hard Rock (Standard)
Out Ta Get Me,Guns N' Roses,Appetite For Destruction,USGF18714804,Music > Rock > Hard Rock > Hard Rock (Standard)
Welcome To The Jungle,Guns N' Roses,Appetite For Destruction,USGF18714801,Music > Rock > Hard Rock > Hard Rock (Standard)
Te Aprovechas,Grupo Limite,Por Puro Amor,MXUM72500395,Music > Roots > Regional Mexicano > Norteño
Yo Sin Tu Amor,Grupo Limite,Por Puro Amor,MXUM72500389,Music > Roots > Regional Mexicano > Norteño
Con La Misma Piedra,Grupo Limite,Por Puro Amor,MXUM72500388,Music > Roots > Regional Mexicano > Norteño
My Sweet Lord,George Harrison,The Apple Years 1968-75,GB77R1400026,Music > Rock > Folk Rock
White Winter Hymnal,Fleet Foxes,Fleet Foxes,USSUB1377722,Music > Rock > Folk Rock
He Doesn't Know Why,Fleet Foxes,Fleet Foxes,USSUB1377726,Music > Rock > Folk Rock
The Racing Rats,Editors,Black Gold : Best of Editors,GBGAC0700020,Music > Rock > Post-Punk
Smokers Outside The Hospital Doors,Editors,Black Gold : Best of Editors,GBGAC0700015,Music > Rock > Post-Punk
Munich,Editors,Black Gold : Best of Editors,GBGAC0500001,Music > Rock > Post-Punk
The Killing Moon,Echo And The Bunnymen,Ocean Rain,GBAHT2200030,Music > Rock > Post-Punk
Seven Seas,Echo And The Bunnymen,Ocean Rain,GBAHT2200032,Music > Rock > Post-Punk
Feel The Pain ,Dinosaur Jr.,Without A Sound ,GBBLY1903617,Music > Rock > Indie Rock
Ziggy Stardust ,David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars ,USJT11500058,Music > Rock > Hard Rock > Hard Rock (Standard)
The Man Who Sold the World ,David Bowie,The Man Who Sold the World ,USJT11500108,Music > Rock > Hard Rock > Hard Rock (Standard)
Space Oddity ,David Bowie,David Bowie (aka Space Oddity) ,USJT11500023,Music > Rock > Folk Rock
Fortunate Son,Creedence Clearwater Revival,Willy And The Poor Boys,USFI86900065,Music > Rock > Roots Rock
Have You Ever Seen The Rain,Creedence Clearwater Revival,Pendulum,USFI87000066,Music > Rock > Roots Rock
Proud Mary,Creedence Clearwater Revival,Bayou Country,USFI86900049,Music > Rock > Roots Rock
My Sacrifice,Creed,The Best Of Creed,USC4R2556912,Music > Rock > Hard Rock > Power Ballad
With Arms Wide Open,Creed,The Best Of Creed,USC4R2556913,Music > Rock > Hard Rock > Power Ballad
What If,Creed,The Best Of Creed,USC4R2556911,Music > Rock > Hard Rock > Hard Rock (Standard)
My Own Prison,Creed,The Best Of Creed,USC4R2556909,Music > Rock > Hard Rock > Hard Rock (Standard)
One Last Breath,Creed,The Best Of Creed,USC4R2556908,Music > Rock > Hard Rock > Power Ballad
Higher,Creed,The Best Of Creed,USC4R2556907,Music > Rock > Hard Rock > Hard Rock (Standard)
In My Place,Coldplay,A Rush of Blood to the Head,GBAYE1600190,Music > Rock > Indie Rock
You Never Can Tell,Chuck Berry,You Never Can Tell / Brenda Lee,FRX452254822,Music > Rock > Roots Rock
What Do I Get?,Buzzcocks,Singles Going Steady,GBCEL1900047,Music > Rock > Pop Punk
Ever Fallen in Love (With Someone You Shouldn't've?),Buzzcocks,Love Bites,GBCEL1800236,Music > Rock > Pop Punk
Livin' On A Prayer,Bon Jovi,Slippery When Wet,USPR38619998,Music > Rock > Hard Rock > Power Ballad
Song 2,Blur,Blur,GBAYE1400841,Music > Rock > Indie Rock
Quiero Que Seas Mi Estrella,Binomio De Oro De América,Más Cerca De Ti,COC019924098,Music > Roots > Folk > Latin Folk > Vallenato
Gonna Fly Now,Bill Conti,Rocky,USNPD0600582,Music > Score
Ramona,Beck,Everybody's Gotta Learn Sometime,US3841000029,Music > Rock > Indie Rock
Kick in the Eye,Bauhaus,Singles,GBAZP1100121,Music > Rock > Post-Punk
Dark Entries,Bauhaus,Singles,GBAFL1100041,Music > Rock > Post-Punk
What's Up?,4 Non Blondes,"Bigger, Better, Faster, More!",USIR19200553,Music > Rock > Folk Rock
Comfortably Numb,Pink Floyd,A Foot in the Door: The Best of Pink Floyd,GBN9Y1100113,Music > Rock > Progressive Rock
Comfortably Numb,Pink Floyd,A Foot in the Door: The Best of Pink Floyd,GBN9Y1100113,Music > Rock > Psychedelic Rock
Clocks,Coldplay,A Rush of Blood to the Head,GBAYE1600193,Music > Rock > Indie Rock
Civil War,Guns N' Roses,Use Your Illusion II,USGF19142001,Music > Rock > Hard Rock > Hard Rock (Standard)
Buscare Otro Amor,Los Inquietos Del Vallenato,Por Siempre,COC011308939,Music > Roots > Folk > Latin Folk > Vallenato
Break on Through (To the Other Side) ,The Doors,The Doors ,USRH11605697,Music > Rock > Psychedelic Rock
Beetlebum,Blur,Blur,GBAYE1400840,Music > Rock > Indie Rock
Bad Obsession,Guns N' Roses,Use Your Illusion I,USGF19141507,Music > Rock > Hard Rock > Hard Rock (Standard)
Back Off Bitch,Guns N' Roses,Use Your Illusion I,USGF19141508,Music > Rock > Hard Rock > Hard Rock (Standard)
Apocalypse,Cigarettes After Sex,Cigarettes After Sex,USBQU1700034,Music > Rock > Indie Rock
Añorando Tus Besos,Los Cadetes De Linares,15 Norteñas De Oro,QM6DC1877595,Music > Roots > Regional Mexicano > Norteño
"Another Brick in the Wall, Pt. 2",Pink Floyd,A Foot in the Door: The Best of Pink Floyd,GBN9Y1100099,Music > Rock > Progressive Rock
"Another Brick in the Wall, Pt. 2",Pink Floyd,A Foot in the Door: The Best of Pink Floyd,GBN9Y1100099,Music > Rock > Psychedelic Rock
An End Has a Start,Editors,Black Gold : Best of Editors,GBGAC0700016,Music > Rock > Post-Punk
A Great Snake,The Lemon Twigs,Do Hollywood,GBAFL1600340,Music > Rock > Indie Rock
A Great Snake,The Lemon Twigs,Do Hollywood,GBAFL1600340,Music > Rock > Progressive Rock
(I Can't Get No) Satisfaction,The Rolling Stones,Big Hits (High Tide And Green Grass - HD 176kHz/24-bit),USA176510160,Music > Rock > Blues Rock
Heroes,David Bowie,Heroes,USJT11700025,Music > Rock > Psychedelic Rock
Olvídate que yo Existí,William Carrascal,La Caimana,QZYFZ2410717,Music > Roots > Folk > Latin Folk > Vallenato
Is My Love Enough?,White Lies,Friends,GB5KW1600965,Music > Rock > Post-Punk
