title,artist,album,isrc,genre
(Everything I Do) I Do It For You,Bryan Adams,Waking Up The Neighbours,USAM19190012,Rock > Hard Rock > Power Ballad
(I Can't Get No) Satisfaction,The Rolling Stones,Big Hits (High Tide And Green Grass - HD 176kHz/24-bit),USA176510160,Rock > Blues Rock
11 O'Clock Tick Tock,U2,Boy,GBUM70803092,Rock > Post-Punk
1998 (Delicious),Peace,EP Delicious,GBARL1200964,Rock > Indie Rock
A Ella,El Poder Del Norte,A Ellas,MXUM70801008,Roots > Regional Mexicano > Norteño
A Forest,The Cure,Seventeen Seconds,GBALB8000007,Rock > Post-Punk
A Great Snake,The Lemon Twigs,Do Hollywood,GBAFL1600340,Rock > Progressive Rock
A Horse with No Name,America,America,USWB11304213,Rock > Folk Rock
A Means to an End (2007 Remaster),Joy Division,"Closer + bonus (Live at the University of London Union, 8 February 1980)",GBAAP0600155,Rock > Post-Punk
"A Mí, ¿Qué Me Quedó?",Los Invasores de Nuevo León,Vuelvo Contigo,MXF069700476,Roots > Regional Mexicano > Norteño
A Pesar De Ti,La Mafia,Ahora y Siempre,USSD19906037,Roots > Regional Mexicano > Texano
A Pesar De Todo,Jimmy Gonzalez Y Grupo Mazz,Quién Iba A Pensar (Remastered),USG2M0600578,Roots > Regional Mexicano > Texano
A Pesar Del Dolor,Oswaldo Morelos,Juntos Para Siempre,COC019723212,Roots > Folk > Latin Folk > Vallenato
A Place To Hide,White Lies,To Lose My Life ...,GBUM70812607,Rock > Post-Punk
A Punto De Marcharme,Lalo Mora,45 Éxitos,MXF060400599,Roots > Regional Mexicano > Banda
A Puro Dolor,Los Garcia Bros.,"Los Garcia Bros. Coleccion de Oro Tejano: Sabes Amor, Dos Carnales, El Pachuco, A Puro Dolor, Popurri Ranchero, Lobo Herido, Y Mas Exitos",USZUP1011700,Roots > Regional Mexicano > Texano
A Quien,El Poder Del Norte,Piel De Angel,MXUM71003068,Roots > Regional Mexicano > Norteño
A Tu Lado,Bobby Pulido,Bobby Pulido & Friends Una Tuya Y Una Mía,MXUM72501506,Roots > Regional Mexicano > Texano
A besitos,Los Diablitos,Mas Vallenato,COC019924025,Roots > Folk > Latin Folk > Vallenato
A.M. 180,Grandaddy,Under The Western Freeway,GBAEN9700055,Rock > Indie Rock
Abeja Reína,Los Traileros Del Norte,Grandes Éxitos Remezclados Y Remasterizados,MXUM70801500,Roots > Regional Mexicano > Norteño
About A Girl ,Nirvana,Bleach (Deluxe Edition),USSUB1383433,Rock > Grunge
