title,artist,album,isrc,genre
Adore,Wild Nothing,Life of Pause,QMMZN1300922,Pop > Indie Pop
Adore,Wild Nothing,Life of Pause,QMMZN1300922,Rock > Psychedelic Rock
Blue Wings,Wild Nothing,Blue Wings,QMMZN1901724,Pop > Indie Pop
Blue Wings,Wild Nothing,Blue Wings,QMMZN1901724,Rock > Psychedelic Rock
Chinatown,Wild Nothing,Gemini,US8YA1010079,Pop > Indie Pop
Chinatown,Wild Nothing,Gemini,US8YA1010079,Rock > Psychedelic Rock
Circles,Digitalism,"I Love You, Dude",GBUM71102277,Pop > Indie Pop
Confetti,Cold Cave,Cherish The Light Years,USMTD1101273,Pop > Indie Pop
Don't Speak,No Doubt,Tragic Kingdom,USIR19500279,Pop > Pop Ballad
Everybody Wants To Rule The World,Tears For Fears,Songs From The Big Chair,GBF088590110,Pop > Indie Pop
Eyes Without A Face,Billy Idol,Rebel Yell,USCH38400023,Pop > Singer-Songwriter Pop
Foyer,Wild Nothing,Foyer,QMMZN1901757,Pop > Indie Pop
Foyer,Wild Nothing,Foyer,QMMZN1901757,Rock > Psychedelic Rock
Ghosts,Ladytron,Velocifero,CAN110800033,Pop > Indie Pop
Head Over Heels,Tears For Fears,Songs From The Big Chair,GBF088590130,Pop > Indie Pop
Letting Go,Wild Nothing,Indigo,QMMZN1801611,Pop > Indie Pop
Letting Go,Wild Nothing,Indigo,QMMZN1801611,Rock > Psychedelic Rock
Linger,The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",USIR29300085,Pop > Pop Ballad
Little Dark Age,MGMT,Little Dark Age,USSM11707035,Pop > Indie Pop
Nocturne,Wild Nothing,Nocturne,GBBRP1235603,Pop > Indie Pop
Nocturne,Wild Nothing,Nocturne,GBBRP1235603,Rock > Psychedelic Rock
Paradise,Wild Nothing,Nocturne,GBBRP1235608,Pop > Indie Pop
Paradise,Wild Nothing,Nocturne,GBBRP1235608,Rock > Psychedelic Rock
Shadows,Midnight Juggernauts,Shadows,AUIO05000188,Pop > Indie Pop
Shark Smile,Big Thief,Capacity,US2U61725502,Pop > Indie Pop
The Scientist,Coldplay,A Rush of Blood to the Head,GBAYE1600192,Pop > Singer-Songwriter Pop
Time to Pretend,MGMT,Oracular Spectacular,USSM10702127,Pop > Indie Pop
Virago,Midnight Juggernauts,The Crystal Axis,AUIB21000007,Pop > Indie Pop
When You're Gone,The Cranberries,To The Faithful Departed,USIR29600117,Pop > Pop Ballad
Where I'm Going,Cut Copy,Zonoscope,AUUM71001982,Pop > Indie Pop
You Got It,Roy Orbison,Mystery Girl,USLIC0701008,Pop > Singer-Songwriter Pop
