title,artist,isrc
Free To Decide,The Cranberries,USIR29600118
Dying In The Sun,The Cranberries,USIR29900013
Delilah,The Cranberries,USIR29900011
Just My Imagination,The Cranberries,USIR29900005
You And Me,The Cranberries,USIR29900004
Loud And Clear,The Cranberries,USIR29900002
Si Me Quisiste Tanto,Los Vallenatos De La Cumbia,MXUM72000776
Mentiras,Los Vallenatos De La Cumbia,MXUM70904329
A Las Tres,Los Vallenatos De La Cumbia,USDS19700402
Cariño Mío,Los Vallenatos De La Cumbia,USDS10711738
Ese Amor,Los Vallenatos De La Cumbia,USDS19700408
Sal Y Agua,Los Vallenatos De La Cumbia,USDS19700400
Muchacha Encantadora,Los Vallenatos De La Cumbia,MXUM70904334
Macondo,Celso Piña y su Ronda Bogotá,MXF169900216
Juntos,Emilio Navaira,USEL19200164
