genre,num_canciones
Music > Rhythmic > Funk,4
Music > Classical,5
Music > Roots > Cumbia > Cumbia Pop,5
Music > Roots > Folk > Latin Folk > Latin Folk Singer-Songwriter,5
Music > Roots > Cumbia > Cumbia Vallenata,6
Music > Roots > Folk > Latin Folk > Latin Folk Pop,6
Music > Roots > Regional Mexicano > Banda,6
Music > Electronic > Drum And Bass,7
Music > Hip Hop > Boom Bap,7
Music > Hip Hop > West Coast,7
Music > Hip Hop > Trap,8
Music > Jazz,8
Music > Pop > Singer-Songwriter Pop,8
Music > Roots > Bolero,8
Music > Roots > Folk > Folk (Standard),8
Music > Roots > Regional Mexicano > Ranchera,8
Music > Electronic > House,9
Music > Metal > Alternative Metal,9
Music > Rhythmic > Ska,9
Music > Rhythmic > Soul,9
Music > Rock > Pop Punk,9
Music > Electronic > Big Beat,10
Music > Metal > Power Metal,10
Music > Pop > Pop (Standard),10
Music > Rock > Progressive Rock,10
Music > Score,10
Music > Electronic > Downtempo,12
Music > Hip Hop > Hip Hop (Standard),14
Music > Pop > Psychedelic Pop,15
Music > Rock > Roots Rock,15
Music > Metal > Nu Metal,16
Music > Rock > Folk Rock,16
Music > Hip Hop > Pop Rap,18
Music > Rhythmic > Disco,19
Music > Metal > Industrial Metal,20
Music > Rock > Blues Rock,20
Music > Metal > Thrash Metal,28
Music > Pop > Indie Pop,28
Music > Rock > Soft Rock,31
Music > Electronic > Synthpop,33
Music > Pop > Pop Ballad,50
Music > Rock > Psychedelic Rock,50
Music > Rock > Grunge,52
Music > Metal > Heavy Metal,76
Music > Rock > Hard Rock,90
Music > Roots > Regional Mexicano > Norteño,105
Music > Rock > Post-Punk,108
Music > Roots > Regional Mexicano > Texano,116
Music > Rock > Indie Rock,125
Music > Rock > Alternative Rock,139
Music > Roots > Folk > Latin Folk > Vallenato,152
