ISRC,Id Titulo,Título,Versión del título,Id Artista,Artista,Disco,Tipo Disco,Versión del disco,maximum_bit_depth,maximum_sampling_rate,maximum_channel_count,Es favorito
GBUM72204121,202251945,11 O'Clock Tick Tock,Songs Of Surrender,35222,U2,Songs Of Surrender,Studio,,24,48.0,2,False
GBUM70803092,744193,11 O'Clock Tick Tock,Remastered,35222,U2,Boy,Studio,Deluxe Edition Remastered,16,44.1,2,True
COF011600130,158346524,Ajena,,259797,Nelson Velasquez,Inolvidables,Studio,,24,44.1,2,False
COC011310912,290880684,Ajena,,259797,Nelson Velasquez,La Historia Continúa,Studio,,16,44.1,2,True
GB5KW2401199,387301983,Alone Again (Naturally),Songbook Version,115676,Gilbert O'sullivan,Songbook,Studio,,24,44.1,2,False
GBEQJ0400002,386576247,Alone Again (Naturally),,115676,Gilbert O'sullivan,Alone Again,Studio,The EP,16,44.1,2,True
QZMZ92148876,152095794,Amargo Adios,,2331925,Inspector,Amargo Adios,Studio,,24,48.0,2,False
QZMZ92148987,152096160,Amargo Adios,,2331925,Inspector,"A2Í 5Uena!, Vol 2",Studio,,24,48.0,2,False
MX5332500254,359774602,Amargo Adiós ,Sonando desde el Auditorio Nacional,2331925,Inspector,Sonando desde el Auditorio Nacional,Studio,,24,48.0,2,False
MXF110200231,47205065,Amargo Adiós,,2331925,Inspector,Alma En Fuego,Studio,,16,44.1,2,True
FR2X42535315,354841990,Amiga Soledad,,925981,Duelo,Colección Acústica Vol.1,Studio,,24,48.0,2,False
USUM50110280,6713945,Amiga Soledad,Album Version,925981,Duelo,El Amor No Acaba,Studio,,16,44.1,2,True
QZMZ92148985,152096156,Amnesia,,2331925,Inspector,"A2Í 5Uena!, Vol 2",Studio,,24,48.0,2,False
QZMZ92148897,152442291,Amnesia,,2331925,Inspector,Amnesia,Studio,,24,48.0,2,False
MX5332500256,359774604,Amnesia ,Sonando desde el Auditorio Nacional,2331925,Inspector,Sonando desde el Auditorio Nacional,Studio,,24,48.0,2,False
MX5332500256,362636895,Amnesia ,Sonando desde el Auditorio Nacional,2331925,Inspector,Amnesia ,Studio,Sonando desde el Auditorio Nacional,24,48.0,2,False
MXF110200229,47205063,Amnesia,,2331925,Inspector,Alma En Fuego,Studio,,16,44.1,2,True
USQX92505609,369833383,Antología ,Anniversary Version,106694,Shakira,Anniversary | Oral Fixation (20th) and Pies Descalzos (30th) LIVE,Studio,,24,48.0,2,False
COS019500013,15179750,Antología,,106694,Shakira,Pies Descalzos,Studio,,16,44.1,2,True
QZHZ62056770,159077865,Ayúdame a Olvidarla,,239331,Miguel Morales,Miguel Morales Concierto Online,Studio,,24,48.0,2,False
DGA072134174,114555541,Ayúdame a Olvidarla,,239331,Miguel Morales,Vallenato Hits,Studio,,16,44.1,2,True
USUM71803918,51041331,Back Off Bitch,1986 Sound City Session,54838,Guns N' Roses,Appetite For Destruction (Super Deluxe) - 192 kHz,Studio,Super Deluxe,24,192.0,2,False
USGF19141508,173779643,Back Off Bitch,,54838,Guns N' Roses,Use Your Illusion I,Studio,,24,96.0,2,True
ES5021400618,20183847,Cantares ,Remasterizado,19195,Joan Manuel Serrat,Antología Desordenada,Studio,,24,96.0,2,False
ES5020000250,221270,Cantares,,19195,Joan Manuel Serrat,24 Paginas Inolvidables,Studio,,24,44.1,2,True
QZMEM2213306,166083641,Círculo de Amor,,210754,El Gran Silencio,Un Gran Homenaje,Studio,,24,48.0,2,False
MXF060000124,4687397,Círculo De Amor,,210754,El Gran Silencio,Chúntaros Radio Poder,Studio,,16,44.1,2,True
MXF012500286,333769146,Contigo Aprendí,,44313,Armando Manzanero,Desde el Cielo,Studio,,24,48.0,2,False
MXF016700436,13361064,Contigo Aprendí,,44313,Armando Manzanero,20 Exitos Originales,Studio,,16,44.1,2,True
USEE10100338,95786994,Creeping Death,Live In Mexico City/Mexico/1993,62542,Metallica,Live Sh*t: Binge & Purge,Live,Live In Mexico City,24,96.0,2,False
QMKHM1900014,123588698,Creeping Death,"Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",62542,Metallica,Metallica,Live,Remastered Deluxe Box Set - Explicit,24,44.1,2,True
USUG12103089,146264751,Dream On,,47437,Aerosmith,1971: The Road Starts Hear,Studio,,24,192.0,2,False
USSM10011897,188599994,Dream On,,47437,Aerosmith,Aerosmith,Studio,,24,96.0,2,True
CAN112300456,198750537,Duvet,Sped Up Version,23203105,bôa,Duvet,Studio,,24,48.0,2,False
CAN112300455,198750539,Duvet,Slowed Down Version,23203105,bôa,Duvet,Studio,,24,48.0,2,False
USCGJ0659337,138888128,Duvet,,23203105,bôa,Twilight,Studio,,24,44.1,2,True
QZHZ62176796,152096148,Es por Ti,,2331925,Inspector,"A2Í 5Uena!, Vol 2",Studio,,24,48.0,2,False
QZHZ62176796,154009879,Es por Ti,,2331925,Inspector,Es por Ti,Studio,,24,48.0,2,False
MX5332400170,275419860,Es Por Ti ,Sonando Desde El Auditorio Nacional,2331925,Inspector,Es Por Ti ,Studio,Sonando Desde El Auditorio Nacional,24,48.0,2,False
MX5332400170,359774608,Es Por Ti ,Sonando Desde El Auditorio Nacional,2331925,Inspector,Sonando desde el Auditorio Nacional,Studio,,24,48.0,2,False
MXF600900156,74718103,Es Por Ti,,2331925,Inspector,Inspector,Studio,,16,44.1,2,True
USUM71417640,21445504,Fade Into You,The Avener Rework,47362,Mazzy Star,The Wanderings Of The Avener,Studio,,24,44.1,2,False
USUM71417640,28168305,Fade Into You,The Avener Rework,47362,Mazzy Star,The Wanderings Of The Avener,Studio,,24,44.1,2,False
USCA29300105,797846,Fade Into You,,47362,Mazzy Star,So Tonight That I Might See,Studio,,16,44.1,2,True
USEE10100339,95786995,Harvester Of Sorrow,Live In Mexico City/Mexico/1993,62542,Metallica,Live Sh*t: Binge & Purge,Live,Live In Mexico City,24,96.0,2,False
QMKHM1900176,123588848,Harvester of Sorrow,"Live at The Liebenau, Graz, Austria / September 11th, 1991",62542,Metallica,Metallica,Live,Remastered Deluxe Box Set - Explicit,24,44.1,2,True
GBCAD2300773,248761832,Hey,John Peel Session (3rd May 1988),384655,Pixies,"Pixies at the BBC, 1988-91",Studio,,24,96.0,2,False
GBAFL8900017,2535050,Hey,,384655,Pixies,Doolittle,Studio,,16,44.1,2,True
USQX91801089,50631687,I. Prélude,,31220,Yo-Yo Ma,Six Evolutions - Bach: Cello Suites,Studio,,24,96.0,2,False
USQX91801096,50631693,I. Prélude,,31220,Yo-Yo Ma,Six Evolutions - Bach: Cello Suites,Studio,,24,96.0,2,False
USQX91801103,50631699,I. Prélude,,31220,Yo-Yo Ma,Six Evolutions - Bach: Cello Suites,Studio,,24,96.0,2,False
USQX91801110,50631705,I. Prélude,,31220,Yo-Yo Ma,Six Evolutions - Bach: Cello Suites,Studio,,24,96.0,2,False
USQX91801117,50631711,I. Prélude,,31220,Yo-Yo Ma,Six Evolutions - Bach: Cello Suites,Studio,,24,96.0,2,False
USQX91801124,50631717,I. Prélude,,31220,Yo-Yo Ma,Six Evolutions - Bach: Cello Suites,Studio,,24,96.0,2,False
USSM18200515,94911,I. Prélude,Instrumental,31220,Yo-Yo Ma,"Bach: Cello Suites Nos. 1, 5 & 6",Studio,,16,44.1,2,True
GX3EQ2000001,154370524,Just Like Honey,2021 EL Inocente version,458148,The Jesus And Mary Chain,Just Like Honey (2021 EL Inocente version),Studio,,24,48.0,2,False
GBAHT0200220,4293668,Just Like Honey,,458148,The Jesus And Mary Chain,Psychocandy,Studio,Expanded Version,16,44.1,2,True
QMRSZ2200646,372574794,La Grange,,56332,ZZ Top,La Grange,Studio,"From ""RAW: That Little Ol' Band From Texas"" Original Soundtrack",24,96.0,2,False
QMRSZ2200646,381791121,La Grange,,56332,ZZ Top,RAW,Studio,"From ""That Little Ol' Band From Texas""",24,96.0,2,False
USWB11901049,62578008,La Grange ,2019 Remaster,56332,ZZ Top,Goin' 50,Studio,,16,44.1,2,True
GBAAP2200214,188312414,Lips Like Sugar ,"WHYT Radio Session, 1997",322732,Echo And The Bunnymen,Evergreen ,Studio,25 Year Anniversary Edition,24,44.1,2,False
GBAHT0003955,2975611,Lips Like Sugar,Album Version,322732,Echo And The Bunnymen,Echo & The Bunnymen  ,Studio,Expanded; 2008 Remaster,16,44.1,2,True
QZNJY2538984,348975307,Lo Que Queda de Ti,,832300,LMT,"Live Sessions, Vol. 1",Studio,,24,48.0,2,False
MXUM71001604,89055852,Lo Que Queda De Ti,,832300,LMT,Una Nueva Historia,Studio,,16,44.1,2,True
ES5020600360,285848907,Lucha de Gigantes,,73030,Nacha Pop,La Edad De Oro Sinfónica,Studio,,24,96.0,2,False
ES5700300296,40419064,Lucha De Gigantes,,73030,Nacha Pop,Chica de ayer y otras canciones que consiguen que te pueda amar - Colección Definitiva,Studio,,16,44.1,2,True
MXF152100794,138713510,Mariposa Traicionera,,81833,Mana,Mariposa Traicionera,Studio,,24,48.0,2,False
