ISRC,Id Titulo,Título,Versión del título,Id Artista,Artista,Disco,Tipo Disco,Versión del disco,maximum_bit_depth,maximum_sampling_rate,maximum_channel_count,Es favorito
QZNJY2394080,246740638,¿Por Qué Tuvo Que Ser?,,296858,El Poder Del Norte,¿Por Qué Tuvo Que Ser?,Studio,,24,48.0,2,False
GBUM72204121,202251945,11 O'Clock Tick Tock,Songs Of Surrender,35222,U2,Songs Of Surrender,Studio,,24,48.0,2,False
COF011600130,158346524,Ajena,,259797,Nelson Velasquez,Inolvidables,Studio,,24,44.1,2,False
GB5KW2401199,387301983,Alone Again (Naturally),Songbook Version,115676,Gilbert O'sullivan,Songbook,Studio,,24,44.1,2,False
QZMZ92148876,152095794,Amargo Adios,,2331925,Inspector,Amargo Adios,Studio,,24,48.0,2,False
QZMZ92148987,152096160,Amargo Adios,,2331925,Inspector,"A2Í 5Uena!, Vol 2",Studio,,24,48.0,2,False
MX5332500254,359774602,Amargo Adiós ,Sonando desde el Auditorio Nacional,2331925,Inspector,Sonando desde el Auditorio Nacional,Studio,,24,48.0,2,False
FR2X42535315,354841990,Amiga Soledad,,925981,Duelo,Colección Acústica Vol.1,Studio,,24,48.0,2,False
QZMZ92148985,152096156,Amnesia,,2331925,Inspector,"A2Í 5Uena!, Vol 2",Studio,,24,48.0,2,False
QZMZ92148897,152442291,Amnesia,,2331925,Inspector,Amnesia,Studio,,24,48.0,2,False
MX5332500256,359774604,Amnesia ,Sonando desde el Auditorio Nacional,2331925,Inspector,Sonando desde el Auditorio Nacional,Studio,,24,48.0,2,False
MX5332500256,362636895,Amnesia ,Sonando desde el Auditorio Nacional,2331925,Inspector,Amnesia ,Studio,Sonando desde el Auditorio Nacional,24,48.0,2,False
USQX92505609,369833383,Antología ,Anniversary Version,106694,Shakira,Anniversary | Oral Fixation (20th) and Pies Descalzos (30th) LIVE,Studio,,24,48.0,2,False
MXF012500286,333769146,Contigo Aprendí,,44313,Armando Manzanero,Desde el Cielo,Studio,,24,48.0,2,False
QZHZ62056770,159077865,Ayúdame a Olvidarla,,239331,Miguel Morales,Miguel Morales Concierto Online,Studio,,24,48.0,2,False
USUM71803918,51041331,Back Off Bitch,1986 Sound City Session,54838,Guns N' Roses,Appetite For Destruction (Super Deluxe) - 192 kHz,Studio,Super Deluxe,24,192.0,2,False
ES5021400618,20183847,Cantares ,Remasterizado,19195,Joan Manuel Serrat,Antología Desordenada,Studio,,24,96.0,2,False
QZMEM2213306,166083641,Círculo de Amor,,210754,El Gran Silencio,Un Gran Homenaje,Studio,,24,48.0,2,False
USEE10100338,95786994,Creeping Death,Live In Mexico City/Mexico/1993,62542,Metallica,Live Sh*t: Binge & Purge,Live,Live In Mexico City,24,96.0,2,False
USUG12103089,146264751,Dream On,,47437,Aerosmith,1971: The Road Starts Hear,Studio,,24,192.0,2,False
CAN112300456,198750537,Duvet,Sped Up Version,23203105,bôa,Duvet,Studio,,24,48.0,2,False
CAN112300455,198750539,Duvet,Slowed Down Version,23203105,bôa,Duvet,Studio,,24,48.0,2,False
