ISRC,Id Titulo,Título,Versión del título,Id Artista,Artista,Disco,Tipo Disco,Versión del disco,maximum_bit_depth,maximum_sampling_rate,maximum_channel_count,Es favorito
GB5KW2202113,381307633,Only Happy When It Rains,,53677,Garbage,Anthology,Studio,,24,44.1,2,True
GB5KW2000738,381794747,Only Happy When It Rains,Remastered 2015,53677,Garbage,Garbage,Studio,20th Anniversary Edition / Remastered 2015,24,96.0,2,False
GB5KW2000738,387853165,Only Happy When It Rains,Remastered 2015,53677,Garbage,Garbage,Studio,20th Anniversary Super Deluxe Edition,24,96.0,2,False
GB5KW2202119,381307639,I Think I'm Paranoid,,53677,Garbage,Anthology,Studio,,24,44.1,2,True
GB5KW2000704,386342202,I Think I'm Paranoid,Remastered 2018,53677,Garbage,Version 2.0,Studio,20th Anniversary Deluxe Edition,24,96.0,2,False
GB5KW2000704,386342275,I Think I'm Paranoid,Remastered 2018,53677,Garbage,Version 2.0,Studio,20th Anniversary Edition / Remastered 2018,24,96.0,2,False
GBAAP1812339,294692167,Smalltown Boy ,Remaster,409561,Bronski Beat,The Age of Consent ,Studio,40 Year Anniversary Edition,16,44.1,2,True
GBAAP2400106,269290979,Smalltown Boy ,ABSOLUTE. Rework,409561,Bronski Beat,Smalltown Boy ,Studio,ABSOLUTE. Rework,24,44.1,2,False
GBUM70803092,744193,11 O'Clock Tick Tock,Remastered,35222,U2,Boy,Studio,Deluxe Edition Remastered,16,44.1,2,True
GBUM72204121,202251945,11 O'Clock Tick Tock,Songs Of Surrender,35222,U2,Songs Of Surrender,Studio,,24,48.0,2,False
TCACS1610798,141728353,Swing Lynn,,4474617,Harmless,I'm Sure,Studio,,24,44.1,2,True
CAN112201228,187374260,Swing Lynn,Sped Up Version,4474617,Harmless,Swing Lynn,Studio,Sped Up Version,24,48.0,2,False
USCGJ0659337,138888128,Duvet,,23203105,bôa,Twilight,Studio,,24,44.1,2,True
CAN112300456,198750537,Duvet,Sped Up Version,23203105,bôa,Duvet,Studio,,24,48.0,2,False
CAN112300455,198750539,Duvet,Slowed Down Version,23203105,bôa,Duvet,Studio,,24,48.0,2,False
GBAAA9820460,172648422,Every You Every Me,,43837,Placebo,Without You I'm Nothing,Studio,,16,44.1,2,True
GBY2T1600309,173059215,Every You Every Me,Single Version,43837,Placebo,A Place for Us to Dream,Studio,,24,44.1,2,False
USUM50110280,6713945,Amiga Soledad,Album Version,925981,Duelo,El Amor No Acaba,Studio,,16,44.1,2,True
FR2X42535315,354841990,Amiga Soledad,,925981,Duelo,Colección Acústica Vol.1,Studio,,24,48.0,2,False
USUM50110284,6713957,Viviendo En Mi,Album Version,925981,Duelo,El Amor No Acaba,Studio,,16,44.1,2,True
FR2X42535316,354841991,Viviendo En Mi,,925981,Duelo,Colección Acústica Vol.1,Studio,,24,48.0,2,False
USGF18819807,755620,You're Crazy,,54838,Guns N' Roses,G N' R Lies,Studio,,16,44.1,2,True
USGF18714810,51037038,You're Crazy,,54838,Guns N' Roses,Appetite For Destruction,Studio,Deluxe Edition,24,192.0,2,False
GBAAP2200214,188312414,Lips Like Sugar ,"WHYT Radio Session, 1997",322732,Echo And The Bunnymen,Evergreen ,Studio,25 Year Anniversary Edition,24,44.1,2,False
QZNJY2394080,246740638,¿Por Qué Tuvo Que Ser?,,296858,El Poder Del Norte,¿Por Qué Tuvo Que Ser?,Studio,,24,48.0,2,False
USQX92505609,369833383,Antología ,Anniversary Version,106694,Shakira,Anniversary | Oral Fixation (20th) and Pies Descalzos (30th) LIVE,Studio,,24,48.0,2,False
FR2X42535318,354841993,Un Minuto Mas,,925981,Duelo,Colección Acústica Vol.1,Studio,,24,48.0,2,False
USTC30737306,125432992,Nuestra Canción,,170804,La Mafia,Nuevamente,Studio,,24,44.1,2,False
USTC30737281,125432997,Qué Haré Yo,,170804,La Mafia,Nuevamente,Studio,,24,44.1,2,False
